ID,DATA_HORA,DIA_SEM,FERIDOS,TEMPO,NOITE_DIA,REGIAO,DIA,MES,ANO,FX_HORA,CONT_ACID,CONT_VIT,UPS
510867,20110101 03:25,SABADO,0,BOM,NOITE,CENTRO,1,1,2011,3,1,0,1
510868,20110101 03:30,SABADO,0,BOM,NOITE,LESTE,1,1,2011,3,1,0,1
510807,20110101 03:40,SABADO,0,BOM,NOITE,LESTE,1,1,2011,3,1,1,13
510808,20110101 04:35,SABADO,1,BOM,NOITE,SUL,1,1,2011,4,1,1,5
510809,20110101 04:45,SABADO,1,BOM,NOITE,LESTE,1,1,2011,4,1,1,5
510810,20110101 06:00,SABADO,2,BOM,NOITE,LESTE,1,1,2011,6,1,1,5
510811,20110101 07:15,SABADO,1,BOM,DIA,NORTE,1,1,2011,7,1,1,5
510812,20110101 08:00,SABADO,2,BOM,DIA,CENTRO,1,1,2011,8,1,1,5
510813,20110101 08:25,SABADO,2,BOM,DIA,NORTE,1,1,2011,8,1,1,5
510920,20110101 10:05,SABADO,0,NUBLADO,DIA,NORTE,1,1,2011,10,1,0,1
510921,20110101 10:10,SABADO,0,BOM,DIA,NORTE,1,1,2011,10,1,0,1
511295,20110101 12:30,SABADO,2,BOM,DIA,CENTRO,1,1,2011,12,1,1,5
510866,20110101 13:15,SABADO,0,BOM,DIA,SUL,1,1,2011,13,1,0,1
510814,20110101 13:20,SABADO,1,BOM,DIA,LESTE,1,1,2011,13,1,1,5
510922,20110101 14:00,SABADO,0,BOM,DIA,LESTE,1,1,2011,14,1,0,1
510815,20110101 17:15,SABADO,1,BOM,DIA,LESTE,1,1,2011,17,1,1,5
510816,20110101 18:30,SABADO,1,BOM,NOITE,SUL,1,1,2011,18,1,1,5
510817,20110101 20:30,SABADO,2,BOM,NOITE,SUL,1,1,2011,20,1,1,5
510869,20110101 21:10,SABADO,0,BOM,NOITE,CENTRO,1,1,2011,21,1,0,1
510820,20110102 07:10,DOMINGO,2,BOM,DIA,LESTE,2,1,2011,7,1,1,5
510821,20110102 09:00,DOMINGO,0,BOM,DIA,LESTE,2,1,2011,9,1,0,1
510923,20110102 10:28,DOMINGO,0,BOM,DIA,NORTE,2,1,2011,10,1,0,1
